"#","Год","Изображение для сайта","Page","Основа работы","Чем написано","Высота (без рамы), см","Ширина (без рамы), см"
"1","2024",":aigull:paintings:2024:2401-02:2401-02_web.jpg","Узоры на красном","бумага, грунт","сухая пастель","60","40"
"2","2024",":aigull:paintings:2024:2403-01:2403-01_web.jpg","Гранаты на башкирском полотенце","бумага, грунт","сухая пастель","",""
"3","2024",":aigull:paintings:2024:2404-03:2404-03_web.jpg","Тёплый закат","","сухая пастель","",""
"4","2024",":aigull:paintings:2024:2404-05:2404-05_web.jpg","Апрельский разлив","грунт, картон","сухая пастель","19","28"
"5","2024",":aigull:paintings:2024:2404-15:2404-15_web.jpg","Закатное небо","бумага, грунт","сухая пастель","13","20"
"6","2024",":aigull:paintings:2024:2404-16:2404-16_web.jpg","Ночь","бумага, грунт","сухая пастель","13","20"
"7","2024",":aigull:paintings:2024:2404-17:2404-17_web.jpg","Солнечный день","бумага, грунт","сухая пастель","13","20"
"8","2024",":aigull:paintings:2024:2404-18:2404-18_web.jpg","Утро на Павловке","бумага, грунт","сухая пастель","13","20"
"9","2024",":aigull:paintings:2024:2405-01:2405-01_web.jpg","Тюльпаны","грунт, картон","сухая пастель","21","21"
"10","2024",":aigull:paintings:2024:2405-02:2405-02_web.jpg","Тюльпаны мая","бумага, грунт","сухая пастель","13","18"
"11","2024",":aigull:paintings:2024:2405-03:2405-03_web.jpg","Ляля-Тюльпан","бумага, грунт","сухая пастель","",""
"12","2024",":aigull:paintings:2024:2406-01:2406-01_web.jpg","Вид на Нугуш","Pastelmat","сухая пастель","16","24"
"13","2024",":aigull:paintings:2024:2406-03:2406-03_web.jpg","Нугуш","бумага, грунт","сухая пастель","13","18"
"14","2024",":aigull:paintings:2024:2406-05:2406-05_web.jpg","Утро","Pastelmat","сухая пастель","11","24"
"15","2024",":aigull:paintings:2024:2407-02:2407-02_web.jpg","Нугушское водохранилище","крафт","сухая пастель","20","20"
"16","2024",":aigull:paintings:2024:2407-03:2407-03_web.jpg","Дачная зарисовка","крафт","сухая пастель","20","20"
"17","2024",":aigull:paintings:2024:2407-04:2407-04_web.jpg","2407-04","бумага, грунт","сухая пастель","40","40"
"18","2024",":aigull:paintings:2024:2408-02:2408-02_web.jpg","Чайные розы в закатном свете","бумага, грунт","сухая пастель","32","32"
"19","2024",":aigull:paintings:2024:2408-03:2408-03_web.jpg","Летний вечер","грунт, картон","сухая пастель","16","24"
"20","2024",":aigull:paintings:2024:2408-04:2408-04_web.jpg","Закат уфимский","грунт, картон","сухая пастель","16","24"
"21","2024",":aigull:paintings:2024:2410-01:2410-01_web.jpg","Лимоны на башкирском полотенце","бумага, грунт","сухая пастель","",""
"22","2024",":aigull:paintings:2024:2410-02:2410-02_web.jpg","Золото сентября","скетчбук","сухая пастель","18","18"
"23","2024",":aigull:paintings:2024:2410-03:2410-03_web.jpg","Провожая октябрь","грунт, картон","сухая пастель","22","17"
"24","2024",":aigull:paintings:2024:2412-01:2412-01_web.jpg","Панельки в красном","крафт","сухая пастель","21","28"
